Line,Strat Time,End Time
"If I knock out that east wall,","01:58:20,160 "," 01:58:21,366"
"it'd make a nice workspacefor Laura, huh?","01:58:22,080 "," 01:58:23,720"
Put up some baffling.,"01:58:25,200 "," 01:58:26,361"
She can't hear the kids running around.What do you think?,"01:58:26,480 "," 01:58:28,761"
You guys always eatin the kitchen anyway.,"01:58:28,800 "," 01:58:29,881"
No one eats in a dining room.,"01:58:30,040 "," 01:58:31,565"
We don't have a lot of time.,"01:58:37,240 "," 01:58:38,360"
So get your ass on a boat.,"01:58:38,960 "," 01:58:40,928"
"Hey, big guy.","01:58:53,880 "," 01:58:55,006"
Sun's getting real low.,"01:58:56,800 "," 01:58:58,564"
You're safe now.You're gonna be okay. Buckle up.,"01:58:59,080 "," 01:59:01,731"
"Secure your gear, find a seat.","01:59:04,280 "," 01:59:05,850"
Costel!,"01:59:05,960 "," 01:59:07,246"
We were in the market.,"01:59:08,320 "," 01:59:09,446"
Costel!,"01:59:09,560 "," 01:59:10,607"
"Thor, I'm gonnaneed you back in the church.","01:59:25,320 "," 01:59:27,368"
 Is this the last of them? Yeah.,"01:59:27,480 "," 01:59:28,925"
" Everyone else is on the carrier. You know, this works,","01:59:29,360 "," 01:59:31,641"
we maybe don't walk away.,"01:59:32,240 "," 01:59:33,651"
Maybe not.,"01:59:34,360 "," 01:59:35,361"
"I got no strings, so I have fun","01:59:54,600 "," 01:59:58,127"
I'm not tied up to anyone,"01:59:58,600 "," 02:00:01,285"
Come on. Time to go.,"02:00:02,880 "," 02:00:04,211"
You didn't see that coming?,"02:00:36,640 "," 02:00:38,688"
For God's sake.,"02:01:34,960 "," 02:01:36,724"
 Zrinka! Costel! Baby!,"02:01:53,000 "," 02:01:54,764"
"No, no, I'm fine.","02:02:07,240 "," 02:02:08,241"
Fine.,"02:02:08,400 "," 02:02:09,401"
It's been a long day.,"02:02:11,240 "," 02:02:13,288"
Wanda.,"02:02:27,840 "," 02:02:29,046"
"If you stay here, you'll die.","02:02:29,760 "," 02:02:33,003"
I just did.,"02:02:34,600 "," 02:02:35,965"
Do you know how it felt?,"02:02:36,760 "," 02:02:38,524"
It felt like that.,"02:02:52,600 "," 02:02:54,967"
"Thor, on my mark.","02:03:29,960 "," 02:03:31,610"
Now!,"02:03:46,680 "," 02:03:47,681"
"Hey, big guy. We did it.","02:04:15,680 "," 02:04:18,126"
The job is finished.,"02:04:19,160 "," 02:04:20,844"
"Now I need you to turnthis bird around, okay?","02:04:21,040 "," 02:04:23,725"
We can't track you in stealth mode.,"02:04:28,040 "," 02:04:29,849"
So help me out. I need you...,"02:04:31,960 "," 02:04:34,088"
You're afraid.,"02:05:19,760 "," 02:05:20,761"
Of you?,"02:05:21,760 "," 02:05:22,841"
Of death.,"02:05:23,520 "," 02:05:24,681"
You're the last one.,"02:05:25,400 "," 02:05:27,209"
You were supposed to be the last.,"02:05:27,440 "," 02:05:29,886"
Stark asked for a saviour,"02:05:30,120 "," 02:05:32,407"
and settled for a slave.,"02:05:33,440 "," 02:05:35,124"
I suppose we are both disappointments.,"02:05:35,240 "," 02:05:37,641"
I suppose we are.,"02:05:40,120 "," 02:05:41,360"
Humans are odd.,"02:05:42,080 "," 02:05:43,241"
They think order and chaosare somehow opposites,"02:05:45,080 "," 02:05:48,721"
and try to control what won't be.,"02:05:50,480 "," 02:05:51,811"
But there is grace in their failings.,"02:05:53,520 "," 02:05:55,966"
I think you missed that.,"02:05:56,280 "," 02:05:58,203"
They're doomed.,"02:05:58,880 "," 02:05:59,961"
Yes.,"02:06:00,880 "," 02:06:01,927"
But a thing isn't beautifulbecause it lasts.,"02:06:06,160 "," 02:06:09,084"
It's a privilege to be among them.,"02:06:11,160 "," 02:06:13,162"
You're unbearably naive.,"02:06:13,400 "," 02:06:15,926"
Well...,"02:06:16,200 "," 02:06:17,406"
I was born yesterday.,"02:06:19,480 "," 02:06:21,528"
Look! Say hi to Auntie Nat!,"02:07:34,160 "," 02:07:36,242"
Fat.,"02:07:37,600 "," 02:07:38,601"
One of our tech boys flagged this.,"02:07:39,720 "," 02:07:41,080"
Splashed down in the Banda Sea.,"02:07:42,200 "," 02:07:44,362"
Could be the Quinjet.,"02:07:45,480 "," 02:07:47,005"
"But with Stark's stealth tech,we still can't track the damn thing.","02:07:47,360 "," 02:07:50,730"
Right.,"02:07:52,280 "," 02:07:53,645"
Probably jumped out and swam to Fiji.,"02:07:54,080 "," 02:07:56,321"
He'll send a postcard.,"02:07:57,600 "," 02:07:59,489"
Wish you were here.,"02:07:59,760 "," 02:08:01,489"
You sent me to recruit himway back when.,"02:08:03,440 "," 02:08:06,728"
Did you know thenwhat was gonna happen?,"02:08:08,560 "," 02:08:11,131"
You never know.,"02:08:13,320 "," 02:08:15,243"
"You hope for the best,then make do with what you get.","02:08:15,440 "," 02:08:18,967"
I got a great team.,"02:08:19,440 "," 02:08:20,930"
Nothing lasts forever.,"02:08:22,040 "," 02:08:24,008"
"Trouble, Ms Romanoff.","02:08:24,280 "," 02:08:26,328"
"No matter who wins or loses,trouble still comes around.","02:08:26,560 "," 02:08:29,928"
The rules have changed.,"02:08:33,800 "," 02:08:35,006"
We're dealing with something new.,"02:08:35,200 "," 02:08:36,804"
The Vision is artificial intelligence.,"02:08:36,960 "," 02:08:38,246"
" A machine. So, it doesn't count?","02:08:38,360 "," 02:08:40,283"
"No, it's not likea person lifting the hammer.","02:08:40,480 "," 02:08:42,289"
"Right, different rules for us.","02:08:42,560 "," 02:08:44,210"
 Nice guy. Artificial. Thank you.,"02:08:44,440 "," 02:08:45,487"
"He can wield the hammer,he can keep the Mind Stone.","02:08:45,680 "," 02:08:48,570"
It's safe with the Vision.,"02:08:49,480 "," 02:08:51,562"
"And these days, safe is in short supply.","02:08:51,800 "," 02:08:54,326"
But if you put the hammerin an elevator...,"02:08:56,360 "," 02:08:58,328"
 It would still go up. Elevator's not worthy.,"02:08:58,440 "," 02:09:00,320"
I'm gonna miss these little talks of ours.,"02:09:00,360 "," 02:09:02,169"
Not if you don't leave.,"02:09:02,320 "," 02:09:03,845"
I have no choice.,"02:09:04,080 "," 02:09:05,809"
The Mind Stone is the fourthof the Infinity Stones,"02:09:06,040 "," 02:09:08,202"
to show up in the last few years.,"02:09:08,320 "," 02:09:09,731"
It's not a coincidence.,"02:09:09,840 "," 02:09:11,410"
Someone has been playingan intricate game,"02:09:12,240 "," 02:09:14,004"
and has made pawns of us.,"02:09:14,160 "," 02:09:15,810"
And once all these piecesare in position...,"02:09:15,920 "," 02:09:17,809"
Triple Yahtzee.,"02:09:17,920 "," 02:09:19,331"
You think you can find outwhat's coming?,"02:09:19,560 "," 02:09:21,005"
I do.,"02:09:21,120 "," 02:09:22,201"
"Besides this one,","02:09:23,040 "," 02:09:24,530"
there's nothing that can't be explained.,"02:09:24,640 "," 02:09:27,007"
That man has no regardfor lawn maintenance.,"02:09:34,320 "," 02:09:36,846"
"I'm gonna miss him, though.And you're gonna miss me.","02:09:40,000 "," 02:09:42,606"
There's gonna be a lot of manful tears.,"02:09:42,720 "," 02:09:44,290"
"I will miss you, Tony.","02:09:46,480 "," 02:09:48,130"
Yeah?,"02:09:48,360 "," 02:09:49,361"
"Well, it's time for me to tap out.","02:09:49,520 "," 02:09:51,966"
Maybe I should take a pageout of Barton's book.,"02:09:52,200 "," 02:09:54,362"
"Build Pepper a farm,hope nobody blows it up.","02:09:54,520 "," 02:09:57,444"
The simple life.,"02:09:58,240 "," 02:09:59,401"
 You'll get there one day. I don't know.,"02:09:59,680 "," 02:10:01,967"
"Family, stability...","02:10:02,200 "," 02:10:04,601"
The guy who wanted all thatwent in the ice 75 years ago.,"02:10:05,760 "," 02:10:08,889"
I think someone else came out.,"02:10:10,400 "," 02:10:12,243"
You all right?,"02:10:16,200 "," 02:10:17,281"
I'm home.,"02:10:19,960 "," 02:10:21,405"
"You wanna keep staring at the wall,or do you wanna go to work?","02:10:29,320 "," 02:10:32,085"
"I mean, it's a pretty interesting wall.","02:10:32,240 "," 02:10:33,571"
I thought you and Tony werestill gazing into each other's eyes.,"02:10:33,760 "," 02:10:36,764"
How do we look?,"02:10:36,840 "," 02:10:37,887"
"Well, we're not the '27 Yankees.","02:10:38,120 "," 02:10:40,407"
We got some hitters.,"02:10:40,560 "," 02:10:42,244"
They're good. They're not a team.,"02:10:42,400 "," 02:10:44,801"
Let's beat them into shape.,"02:10:44,960 "," 02:10:46,610"
Avengers...,"02:11:05,080 "," 02:11:06,605"
Fine.,"02:13:25,440 "," 02:13:26,885"
I'll do it myself.,"02:13:28,320 "," 02:13:30,163"
